OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1981-053JW","COSMOS 1275 DEB","14741","CIS","106.44","82.97","1177","946","SMALL","0","1981-06-04",""
"1981-053JV","COSMOS 1275 DEB","14740","CIS","104.23","83.13","1039","878","SMALL","0","1981-06-04",""
"1981-053JU","COSMOS 1275 DEB","14739","CIS","103.13","83.01","950","863","SMALL","0","1981-06-04",""
"1981-108G","COSMOS 1317 DEB","14736","CIS","719.19","71.61","34176","6248","LARGE","0","1981-10-31",""
"1981-108F","COSMOS 1317 DEB","14735","CIS","714.94","71.18","34048","6167","MEDIUM","0","1981-10-31",""
"1981-108E","COSMOS 1317 DEB","14734","CIS","713.76","71.08","33783","6373","SMALL","0","1981-10-31",""
"1984-012D","JD 2","14729","US","105.93","63.30","1684","392","LARGE","0","1984-02-05",""
"1984-012C","JD 1","14728","US","105.98","63.30","1688","393","LARGE","0","1984-02-05",""
"1984-016A","RADUGA 14","14725","CIS","1436.44","10.78","35819","35768","MEDIUM","0","1984-02-15",""
"1965-027Q","OPS 4682 DEB","14717","US","111.05","90.27","1300","1250","SMALL","0","1965-04-03",""
"1965-027P","OPS 4682 DEB","14716","US","110.87","90.25","1290","1243","SMALL","0","1965-04-03",""
"1965-027N","OPS 4682 DEB","14715","US","111.12","90.26","1313","1243","SMALL","0","1965-04-03",""
"1984-013B","SL-14 R/B","14700","CIS","97.05","82.53","632","603","LARGE","0","1984-02-08",""
"1984-013A","COSMOS 1536","14699","CIS","95.45","82.52","551","530","LARGE","0","1984-02-08",""
"1984-012B","ATLAS H R/B","14691","US","99.22","63.28","899","544","MEDIUM","0","1984-02-05",""
"1984-012A","OPS 8737","14690","US","105.04","63.30","1634","359","","0","1984-02-05",""
"1984-010B","SL-8 R/B","14680","CIS","104.61","82.96","1004","948","LARGE","0","1984-02-02",""
"1984-010A","COSMOS 1535","14679","CIS","104.71","82.96","1011","951","LARGE","0","1984-02-02",""
"1984-009C","TITAN 34D TRANSTAGE R/B","14677","US","1447.98","6.33","40476","31562","","0","1984-01-31",""
"1984-009A","OPS 0441","14675","US","1435.21","6.19","39416","32122","","0","1984-01-31",""
"1984-008A","STTW-T1","14670","PRC","160.07","36.12","6297","478","LARGE","0","1984-01-29",""
"1984-005A","YURI 2A (BS-2A)","14659","JPN","1453.78","12.75","36210","36054","LARGE","0","1984-01-23",""
"1977-002E","SL-3 DEB","14632","CIS","102.82","81.28","929","854","SMALL","0","1977-01-06",""
"1983-075E","SL-3 DEB","14631","CIS","93.03","97.80","428","418","SMALL","0","1983-07-24",""
"1981-053JQ","COSMOS 1275 DEB","14627","CIS","102.76","82.78","921","858","SMALL","0","1981-06-04",""
"1984-003B","SL-8 R/B","14625","CIS","104.77","82.93","999","968","LARGE","0","1984-01-11",""
"1984-003A","COSMOS 1531","14624","CIS","104.94","82.93","1007","976","LARGE","0","1984-01-11",""
"1981-070K","DELTA 1 DEB","14621","US","381.83","90.41","21577","535","SMALL","0","1981-08-03",""
"1981-070J","DELTA 1 DEB","14620","US","377.33","90.32","21362","476","SMALL","0","1981-08-03",""
"1984-001J","SL-8 R/B","14619","CIS","117.57","74.00","1674","1470","LARGE","0","1984-01-05",""
