OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2021-027AA","STARLINK-2454","48116","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027Z","STARLINK-2452","48115","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027Y","STARLINK-2451","48114","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027X","STARLINK-2450","48113","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027W","STARLINK-2449","48112","US","95.59","53.05","549","546","LARGE","0","2021-04-07",""
"2021-027V","STARLINK-2448","48111","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027U","STARLINK-2447","48110","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027T","STARLINK-2445","48109","US","95.59","53.05","549","546","LARGE","0","2021-04-07",""
"2021-027S","STARLINK-2444","48108","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027R","STARLINK-2443","48107","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027Q","STARLINK-2442","48106","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027P","STARLINK-2440","48105","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027N","STARLINK-2439","48104","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027M","STARLINK-2438","48103","US","95.59","53.05","548","546","MEDIUM","0","2021-04-07",""
"2021-027L","STARLINK-2437","48102","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027K","STARLINK-2436","48101","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027J","STARLINK-2430","48100","US","95.59","53.05","549","546","LARGE","0","2021-04-07",""
"2021-027H","STARLINK-2428","48099","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027G","STARLINK-2421","48098","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027F","STARLINK-2418","48097","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027E","STARLINK-2417","48096","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027D","STARLINK-2414","48095","US","95.59","53.05","549","546","MEDIUM","0","2021-04-07",""
"2021-027C","STARLINK-2412","48094","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027B","STARLINK-2404","48093","US","95.59","53.05","548","546","LARGE","0","2021-04-07",""
"2021-027A","STARLINK-2048","48092","US","95.59","53.06","548","546","LARGE","0","2021-04-07",""
"1979-058Y","COSMOS 1109 DEB","48091","CIS","696.66","67.35","37296","2012","MEDIUM","0","1979-06-27",""
"1978-066J","COSMOS 1024 DEB","48090","CIS","717.91","62.41","39250","1111","MEDIUM","0","1978-06-28",""
"1977-047T","COSMOS 917 DEB","48089","CIS","718.16","71.52","36371","4003","MEDIUM","0","1977-06-16",""
"1976-077GT","DELTA 1 DEB","48088","US","118.11","102.26","1688","1504","SMALL","0","1976-07-29",""
"1975-052MX","DELTA 1 DEB","48087","US","107.31","99.79","1144","1060","SMALL","0","1975-06-12",""
"1973-086JG","DELTA 1 DEB","48086","US","110.90","101.53","1471","1065","SMALL","0","1973-11-06",""
"2021-022AP","BEESAT-8","48085","GER","95.32","97.51","547","521","SMALL","0","2021-03-22",""
"2021-022AN","BEESAT-7","48084","GER","95.29","97.51","546","519","SMALL","0","2021-03-22",""
"2021-022AM","BEESAT-5","48083","GER","95.27","97.51","544","519","SMALL","0","2021-03-22",""
"2021-022AL","FEES","48082","IT","95.10","97.52","532","515","SMALL","0","2021-03-22",""
"2021-026B","CZ-4C R/B","48080","PRC","95.82","97.85","594","522","LARGE","0","2021-03-30",""
"2021-026A","GAOFEN 12 (02)","48079","PRC","97.28","97.91","629","627","LARGE","0","2021-03-30",""
"1996-051Q","SL-16 DEB","48078","CIS","","","","","SMALL","0","1996-09-04","COLLIDED WITH SATELLITE"
"2021-025AM","ONEWEB-0169","48077","UK","109.63","87.90","1211","1209","LARGE","0","2021-03-25",""
"2021-025AL","ONEWEB-0108","48076","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025AK","ONEWEB-0178","48075","UK","109.63","87.91","1211","1208","MEDIUM","0","2021-03-25",""
"2021-025AJ","ONEWEB-0177","48074","UK","109.63","87.90","1211","1208","LARGE","0","2021-03-25",""
"2021-025AH","ONEWEB-0175","48073","UK","109.63","87.91","1211","1208","MEDIUM","0","2021-03-25",""
"2021-025AG","ONEWEB-0174","48072","UK","109.63","87.90","1211","1209","LARGE","0","2021-03-25",""
"2021-025AF","ONEWEB-0172","48071","UK","109.63","87.90","1211","1208","LARGE","0","2021-03-25",""
"2021-025AE","ONEWEB-0171","48070","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025AD","ONEWEB-0173","48069","UK","109.63","87.91","1211","1208","MEDIUM","0","2021-03-25",""
"2021-025AC","ONEWEB-0168","48068","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025AB","ONEWEB-0170","48067","UK","109.63","87.90","1211","1208","LARGE","0","2021-03-25",""
"2021-025AA","ONEWEB-0151","48066","UK","109.63","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025Z","ONEWEB-0166","48065","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025Y","ONEWEB-0167","48064","UK","109.63","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025X","ONEWEB-0164","48063","UK","109.63","87.90","1211","1208","LARGE","0","2021-03-25",""
"2021-025W","ONEWEB-0159","48062","UK","109.63","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025V","ONEWEB-0163","48061","UK","109.63","87.90","1211","1208","MEDIUM","0","2021-03-25",""
"2021-025U","ONEWEB-0160","48060","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025T","ONEWEB-0148","48059","UK","109.63","87.91","1211","1208","MEDIUM","0","2021-03-25",""
"2021-025S","ONEWEB-0149","48058","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025R","ONEWEB-0155","48057","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025Q","ONEWEB-0162","48056","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025P","ONEWEB-0157","48055","UK","109.63","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025N","ONEWEB-0158","48054","UK","109.63","87.91","1211","1209","MEDIUM","0","2021-03-25",""
"2021-025M","ONEWEB-0161","48053","UK","109.63","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025L","ONEWEB-0156","48052","UK","109.63","87.91","1211","1209","MEDIUM","0","2021-03-25",""
"2021-025K","ONEWEB-0112","48051","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-025J","ONEWEB-0113","48050","UK","109.63","87.91","1211","1209","MEDIUM","0","2021-03-25",""
"2021-025H","ONEWEB-0101","48049","UK","109.64","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025G","ONEWEB-0107","48048","UK","109.63","87.90","1211","1208","MEDIUM","0","2021-03-25",""
"2021-025F","ONEWEB-0150","48047","UK","109.63","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025E","ONEWEB-0116","48046","UK","109.63","87.90","1211","1209","LARGE","0","2021-03-25",""
"2021-025D","ONEWEB-0154","48045","UK","109.63","87.90","1211","1209","LARGE","0","2021-03-25",""
"2021-025C","ONEWEB-0153","48044","UK","109.63","87.91","1211","1208","LARGE","0","2021-03-25",""
"2021-025B","ONEWEB-0152","48043","UK","109.63","87.91","1211","1209","MEDIUM","0","2021-03-25",""
"2021-025A","ONEWEB-0115","48042","UK","109.63","87.91","1211","1209","LARGE","0","2021-03-25",""
"2021-022AK","BCCSAT-1","48041","THAI","95.27","97.52","540","523","SMALL","0","2021-03-22",""
"2021-024BM","STARLINK-2295","48036","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024BK","STARLINK-2288","48034","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024BJ","STARLINK-2286","48033","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
"2021-024BG","STARLINK-2267","48031","US","95.59","53.05","549","546","MEDIUM","0","2021-03-24",""
"2021-024BF","STARLINK-2268","48030","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024BE","STARLINK-2299","48029","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
"2021-024BD","STARLINK-2264","48028","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024BC","STARLINK-2300","48027","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024BB","STARLINK-2278","48026","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024AY","STARLINK-2292","48023","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024AX","STARLINK-2298","48022","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024AW","STARLINK-2301","48021","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
